Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,LSRAM (20K),Chip Globals,PLL
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/awcon/intrctrlBlk[0].addr_ctrl_rs/wrch_rs_en.awrs/Primitives,2,2,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/awcon/intrctrlBlk[1].addr_ctrl_rs/wrch_rs_en.awrs/Primitives,2,2,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/awcon/rrArb.rrArb/Primitives,9,8,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/awcon/trgmx/Primitives,5,8,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/derr/Primitives,6,8,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/rDCon/MD.genblk1[0].rdcon/Primitives,1,0,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/rDCon/MD.genblk1[0].rdcon/rdFif.rdFif/Primitives,26,13,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/rDCon/MD.genblk1[0].rdcon/rdFif.rdFif/mem_async_rd.genblk1.DPFF/Primitives,18,18,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/rDCon/MD.genblk1[0].rdcon/rdFif.reqQual/Primitives,2,0,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/rDCon/MD.genblk1[0].rdcon/rdmx/Primitives,86,1,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/rDCon/MD.genblk1[1].rdcon/Primitives,1,0,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/rDCon/MD.genblk1[1].rdcon/rdFif.rdFif/Primitives,2,13,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/rDCon/MD.genblk1[1].rdcon/rdFif.rdFif/mem_async_rd.genblk1.DPFF/Primitives,18,18,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/wDCon/Primitives,5,0,0,0,0,0,0,0,0
